id,type,front,back,known
1,1,"What is Hamming Code?","In telecommunication, Hamming codes are a family of linear error-correcting codes that generalize the Hamming(7,4)-code, and were invented by Richard Hamming in 1950. Hamming codes can detect up to two-bit errors or correct one-bit errors without detection of uncorrected errors.",0
2,1,"What is the square root of 256?",16,0
3,1,2^16,"65,536",0
4,2,"Using bitwise operations, how would you test that a number is a power of 2?","bool isPowerOfTwo = (x & (x - 1);",0
5,1,"What does ELF stand for?","Executable and Linkable Format.
It's a common standard file format for executables, object code, shared libraries, and core dumps.",0
6,1,"example of a latency device","CPU core",0
7,1,"example of a throughput device","GPU core",0
8,1,"What is the Hamming Distance?","A number used to denote the number of differences between two binary strings of the same length.",0
9,1,"What are the 5 steps of the compiling process?","Lexical Analysis
Parsing
Semantic Analysis
Optimization
Code Generation",0
10,1,"What is parsing?","Combining tokens and groups of tokens into a tree structure (a parse tree).",0
11,1,"What is lexical analysis?","The process of dividing program text into words or tokens.",0
12,1,"What is code generation?","Producing a translation from a high-level program to assembly code. (Linker and Archiver taker over from here to produce machine code)",0
13,1,"4 * 16",64,0
14,1,"2 ^ 4",16,0
15,1,2^3,8,0
16,1,2^5,32,0
17,1,2^6,64,0
18,1,2^7,128,0
19,1,2^8,256,0
20,1,2^9,512,0
21,1,2^10,1024,0
22,1,2^11,2048,0
23,1,2^12,4096,0
24,1,2^13,8192,0
25,1,2^14,"16,384",0
26,1,2^15,"32,768",0
27,1,2^32,"4.294 Billion",0
28,1,"size of char in bits","8 bits",0
29,1,"size of char in bytes","1 byte",0
30,1,"size of bool in bits","8 bits",0
31,1,"size of short in bits","16 bits (at least), and 16 commonly",0
32,1,"size of short in bytes","2 bytes, and 2 bytes commonly",0
33,1,"size of int in bits","32 bits commonly, at least 16 bits",0
34,1,"size of int in bytes","4 bytes commonly, at least 2 bytes",0
35,1,"size of long in bits","32 (at least, 32 commonly), 64 on LP64",0
36,1,"size of long in bytes","4 bytes, (at least 4, and commonly 4), 8 on LP64",0
37,1,"size of long long in bits","64 bits",0
38,1,"size of long long in bytes","8 bytes",0
39,1,"size of float in bits","32 bits",0
40,1,"size of float in bytes","4 bytes",0
41,1,"size of double in bits","64 bits",0
42,1,"size of double in bytes","8 bytes",0
43,1,"size of wchar_t in bits","16 bits",0
44,1,"size of wchar_t in bytes","2 bytes",0
45,2,"Write a function that reverses a linked list, with this argument: pointer to pointer to the head node.","void reverse(node_t **head) {
  node_t *prev = NULL;
  node_t *current = *head;
  node_t *next = *head;

  while (current) {
    next = current->next;
    current->next = prev;
    prev = current;
    current = next;
  }

  *head = prev;
}",0
46,2,"Delete a given value from a BST rooted at given node. Returns a pointer to node.","bst_node* delete_value(bst_node* node, int value) {
  if (node == NULL)
    return node;

  if (value < node->value) {
    node->left = delete_value(node->left, value);
  } else if (value > node->value) {
    node->right = delete_value(node->right, value);
  } else { // found value

    if (node->left == NULL && node->right == NULL) {
      free(node);
      node = NULL;
    } else if (node->left == NULL) {
      bst_node* temp = node;
      node = node->right;
      free(temp);
    } else if (node->right == NULL) {
      bst_node* temp = node;
      node = node->left;
      free(temp);
    } else {
      // 2 children - get min node of right subtree
      int right_min = get_min(node->right);
      node->value = right_min;
      node->right = delete_value(node->right, right_min);
    }
  }

  return node;
}",0
47,2,"Get the successor of a value in a BST rooted by given node. Returns int.","int get_successor(bst_node* node, int value) {
  if (node == NULL)
    return -1;

  bst_node* target = node;

  while (target->value != value) {
    if (value < target->value) {
      target = target->left;
    } else if (value > target->value) {
      target = target->right;
    }
  }

  // arrived at target node
  if (target->right != NULL) {
    // get min value of right subtree
    return get_min(target->right);
  } else {
    // get lowest ancestor that is a left child in the path to target value
    bst_node* successor = NULL;
    bst_node* ancestor = node;
    while (ancestor != NULL) {
      if (value < ancestor->value) {
        successor = ancestor;
        ancestor = ancestor->left;
      } else {
        ancestor = ancestor->right;
      }
    }

    return successor->value;
  }

}",0
48,2,"Using recursion, insert a value into a tree: root = insert(node*, int)","bst_node* insert(bst_node* node, const int value) {
  if (node == 0) {
    bst_node* new_node = malloc(sizeof(bst_node));
    if (new_node == NULL) {
      printf(""Unable to allocate memory."");
      exit(0);
    }

    new_node->value = value;
    new_node->left = 0;
    new_node->right = 0;

    node = new_node;

    return node;
  }

  if (value < node->value) {
    node->left = insert(node->left, value);
  } else if (value > node->value) {
    node->right = insert(node->right, value);
  }

  return node;
}",0
49,2,"Using an iterative approach, insert a value into a BST: insert(node*, int)","void treeInsert(bst_node* node, int key) {
  bst_node* new_node;
  new_node = malloc(sizeof(*new_node));
  assert(new_node);

  new_node->key = key;
  new_node->left = 0;
  new_node->right = 0;

  while (1) {
    if (node->key > key) {
      if (node->left) {
        node = node->left;
      } else {
        node->left = new_node;
        return;
      }
    } else {
      if (node->right) {
        node = node->right;
      } else {
        node->right = new_node;
        return;
      }
    }
  }
}",0
50,2,"Write a method is_binary_search_tree that returns true if a given tree is a BST (use helper function).","bool is_binary_search_tree(bst_node* node) {
  if (node == NULL) return true;

  return is_between(node, INT_MIN, INT_MAX);
}

bool is_between(bst_node* node, int min, int max) {
  if (node == NULL) return true;

  // ensure subtrees are not hiding a value lower or higher than the subtree
  // allows
  return node->value > min && node->value < max &&
         is_between(node->left, min, node->value) &&
         is_between(node->right, node->value, max);
}",0
51,2,"Using an iterative approach, write a function find_node(bst_node* root, int target) that returns the node with the given target value in a BST.","bst_node* find_node(bst_node* root, int target) {
  while (root != NULL && root->key != target) {
    if (root->key > target) {
      root = root->left;
    } else {
      root = root->right;
    }
  }
  return root;
}",0
52,2,"Using an recursive approach, write a function: find_node(bst_node* node, int value) that returns the node with the given target value in a BST.","bst_node* find_node(bst_node* node, int value) {
  if (node == NULL)
    return false;

  if (value < node->value) {
    return find_node(node->left, value);
  } else if (value > node->value) {
    return find_node(node->right, value);
  } else {
    return node;
  }
}",0
53,2,"Function that returns the height (in nodes) of a BST: int get_height(bst_node* node)","int get_height(bst_node* node) {
  if (node == NULL) {
    return 0;
  }

  return 1 + max_num(get_height(node->left), get_height(node->right));
}",0
54,1,"How many levels in a complete binary tree of size n?","floor(1 + log(base2)(n))",0
55,1,"How can build heap be done in linear time?","A tree of size n nodes, will have floor(n/2^h) nodes with height >= h.
The last half of nodes will be leaves, so they already satisfy the heap property. No work needs to be done on them.
going bottom-up (ignoring the last n/2 items) and satisfying the heap property one level at a time, each level going up the tree has to do at most 1 operation more than the level below it. But as you go up the tree, higher levels have fewer nodes, so you may be doing more operations, but it happens on fewer number of times.
This resembles a series:

n/2 - height 1: 1 operations
n/4 - height 2: 2 operation
n/8 - height 3: 3 operations
...
going to floor(n/2^h) - height h: h operations

n * (1/2 + 2/4 + 3/8 + 4/16 ....) = n * 1 = n",0
